LGA Name,Year,EGMexppp
WELLINGTON,2010,516.47
WELLINGTON,2011,515.85
WELLINGTON,2012,480.89
WELLINGTON,2013,472.54
WELLINGTON,2014,470
WELLINGTON,2015,476.46
WELLINGTON,2016,478.31
WELLINGTON,2017,465.84
WELLINGTON,2018,471.98
WELLINGTON,2019,374.59
WELLINGTON,2020,285.52
WELLINGTON,2021,460.13
WODONGA,2010,190.62
WODONGA,2011,172.25
WODONGA,2012,167.28
WODONGA,2013,159.53
WODONGA,2014,172.76
WODONGA,2015,177.2
WODONGA,2016,173.8
WODONGA,2017,179.6
WODONGA,2018,176.71
WODONGA,2019,143.41
WODONGA,2020,98.58
WODONGA,2021,212.53
WARRNAMBOOL,2010,551.47
WARRNAMBOOL,2011,526.46
WARRNAMBOOL,2012,462.28
WARRNAMBOOL,2013,489.15
WARRNAMBOOL,2014,514.68
WARRNAMBOOL,2015,523.71
WARRNAMBOOL,2016,530.83
WARRNAMBOOL,2017,538.69
WARRNAMBOOL,2018,546.96
WARRNAMBOOL,2019,425.48
WARRNAMBOOL,2020,358.14
WARRNAMBOOL,2021,521.08
GREATER BENDIGO,2010,374.83
GREATER BENDIGO,2011,390.71
GREATER BENDIGO,2012,373.7
GREATER BENDIGO,2013,380.7
GREATER BENDIGO,2014,392.51
GREATER BENDIGO,2015,400.89
GREATER BENDIGO,2016,393.14
GREATER BENDIGO,2017,406.15
GREATER BENDIGO,2018,417.16
GREATER BENDIGO,2019,307.84
GREATER BENDIGO,2020,245.34
GREATER BENDIGO,2021,378.49
BALLARAT,2010,489.59
BALLARAT,2011,491.71
BALLARAT,2012,461.78
BALLARAT,2013,471.53
BALLARAT,2014,471.37
BALLARAT,2015,480.04
BALLARAT,2016,479.67
BALLARAT,2017,490.18
BALLARAT,2018,505.79
BALLARAT,2019,384.25
BALLARAT,2020,296.34
BALLARAT,2021,449.86
SWAN HILL,2010,311.76
SWAN HILL,2011,336.09
SWAN HILL,2012,330.79
SWAN HILL,2013,312.06
SWAN HILL,2014,305.22
SWAN HILL,2015,351.7
SWAN HILL,2016,347.59
SWAN HILL,2017,377.25
SWAN HILL,2018,396.49
SWAN HILL,2019,278.99
SWAN HILL,2020,258.79
SWAN HILL,2021,388.14
GREATER SHEPPARTON,2010,442.66
GREATER SHEPPARTON,2011,446.81
GREATER SHEPPARTON,2012,424.27
GREATER SHEPPARTON,2013,429.42
GREATER SHEPPARTON,2014,458.72
GREATER SHEPPARTON,2015,459.33
GREATER SHEPPARTON,2016,455.32
GREATER SHEPPARTON,2017,487.41
GREATER SHEPPARTON,2018,499.37
GREATER SHEPPARTON,2019,365.15
GREATER SHEPPARTON,2020,339.3
GREATER SHEPPARTON,2021,479.87
MILDURA,2010,423.6
MILDURA,2011,443.29
MILDURA,2012,435.79
MILDURA,2013,433.55
MILDURA,2014,450.06
MILDURA,2015,451.31
MILDURA,2016,444.25
MILDURA,2017,492.4
MILDURA,2018,526.41
MILDURA,2019,395.53
MILDURA,2020,307.83
MILDURA,2021,512.19
EAST GIPPSLAND,2010,504.19
EAST GIPPSLAND,2011,499.11
EAST GIPPSLAND,2012,439.95
EAST GIPPSLAND,2013,458.25
EAST GIPPSLAND,2014,458.66
EAST GIPPSLAND,2015,485.26
EAST GIPPSLAND,2016,481.83
EAST GIPPSLAND,2017,500.62
EAST GIPPSLAND,2018,515.32
EAST GIPPSLAND,2019,407.89
EAST GIPPSLAND,2020,324.87
EAST GIPPSLAND,2021,485.35
BASS COAST,2010,466.46
BASS COAST,2011,469.11
BASS COAST,2012,370.48
BASS COAST,2013,369.89
BASS COAST,2014,388.63
BASS COAST,2015,400.14
BASS COAST,2016,395.35
BASS COAST,2017,433.34
BASS COAST,2018,431.9
BASS COAST,2019,319.8
BASS COAST,2020,250.37
BASS COAST,2021,359.55
LATROBE,2010,613.56
LATROBE,2011,612.14
LATROBE,2012,565.95
LATROBE,2013,573.4
LATROBE,2014,564.08
LATROBE,2015,563.43
LATROBE,2016,563.28
LATROBE,2017,577.73
LATROBE,2018,595.65
LATROBE,2019,447.28
